readName,readClass
m84074_240804_073425_s4/257429180/ccs,CTCR-P
m84074_240804_073425_s4/217651049/ccs,CTCR-P
m84074_240804_073425_s4/246484405/ccs,CTCR-P
m84074_240804_073425_s4/257560999/ccs,CTCR-P
m84074_240804_073425_s4/222893427/ccs,CTCR-P
m84074_240804_073425_s4/260247575/ccs,CTCR-P
m84074_240804_073425_s4/238096211/ccs,CTCR-P
m84074_240804_073425_s4/246157287/ccs,CTCR-P
m84074_240804_073425_s4/266015225/ccs,CTCR-P
m84074_240804_073425_s4/220139284/ccs,CTCR-P
m84074_240804_073425_s4/242552167/ccs,CTCR-P
m84074_240804_073425_s4/263064828/ccs,CTCR-P
m84074_240804_073425_s4/256054543/ccs,CTCR-P
m84074_240804_073425_s4/216470334/ccs,CTCR-P
m84074_240804_073425_s4/260772438/ccs,CTCR-P
m84074_240804_073425_s4/250744911/ccs,CTCR-P
m84074_240804_073425_s4/223546409/ccs,CTCR-P
m84074_240804_073425_s4/250091316/ccs,CTCR-P
m84074_240804_073425_s4/220336805/ccs,CTCR-P
m84074_240804_073425_s4/243535556/ccs,CTCR-P
m84074_240804_073425_s4/227742210/ccs,CTCR-P
m84074_240804_073425_s4/228659546/ccs,CTCR-P
m84074_240804_073425_s4/222696459/ccs,CTCR-P
m84074_240804_073425_s4/216601620/ccs,CTCR-P
m84074_240804_073425_s4/239998684/ccs,CTCR-P
m84074_240804_073425_s4/258543485/ccs,CTCR-P
m84074_240804_073425_s4/247600864/ccs,CTCR-P
m84074_240804_073425_s4/251270805/ccs,CTCR-P
m84074_240804_073425_s4/228136686/ccs,CTCR-P
m84074_240804_073425_s4/249434117/ccs,CTCR-P
m84074_240804_073425_s4/237900947/ccs,CTCR-P
m84074_240804_073425_s4/217126521/ccs,CTCR-P
m84074_240804_073425_s4/251990110/ccs,CTCR-P
m84074_240804_073425_s4/220927700/ccs,CTCR-P
m84074_240804_073425_s4/265030680/ccs,CTCR-P
m84074_240804_073425_s4/258871184/ccs,CTCR-P
m84074_240804_073425_s4/259855490/ccs,CTCR-P
m84074_240804_073425_s4/263066537/ccs,CTCR-P
m84074_240804_073425_s4/259659332/ccs,CTCR-P
m84074_240804_073425_s4/258937815/ccs,CTCR-P
m84074_240804_073425_s4/249565678/ccs,CTCR-P
m84074_240804_073425_s4/251466033/ccs,CTCR-P
m84074_240804_073425_s4/220534397/ccs,CTCR-P
m84074_240804_073425_s4/252974250/ccs,CTCR-P
m84074_240804_073425_s4/217125314/ccs,CTCR-P
m84074_240804_073425_s4/249040394/ccs,CTCR-P
m84074_240804_073425_s4/234297054/ccs,CTCR-P
m84074_240804_073425_s4/244321342/ccs,CTCR-P
m84074_240804_073425_s4/256576625/ccs,CTCR-P
m84074_240804_073425_s4/239931350/ccs,CTCR-P
m84074_240804_073425_s4/266735405/ccs,CTCR-P
m84074_240804_073425_s4/245437697/ccs,CTCR-P
m84074_240804_073425_s4/229249923/ccs,CTCR-P
m84074_240804_073425_s4/211357785/ccs,CTCR-P
m84074_240804_073425_s4/261492310/ccs,CTCR-P
m84074_240804_073425_s4/223351591/ccs,CTCR-P
m84074_240804_073425_s4/256446259/ccs,CTCR-P
m84074_240804_073425_s4/221451726/ccs,CTCR-P
m84074_240804_073425_s4/264967712/ccs,CTCR-P
m84074_240804_073425_s4/265819079/ccs,CTCR-P
m84074_240804_073425_s4/242356029/ccs,CTCR-P
m84074_240804_073425_s4/211293214/ccs,CTCR-P
m84074_240804_073425_s4/241702101/ccs,CTCR-P
m84074_240804_073425_s4/216667721/ccs,CTCR-P
m84074_240804_073425_s4/248387242/ccs,CTCR-P
m84074_240804_073425_s4/222826791/ccs,CTCR-P
m84074_240804_073425_s4/241309122/ccs,CTCR-P
m84074_240804_073425_s4/242815812/ccs,CTCR-P
m84074_240804_073425_s4/263065073/ccs,CTCR-P
m84074_240804_073425_s4/212406200/ccs,CTCR-P
m84074_240804_073425_s4/250680863/ccs,CTCR-P
m84074_240804_073425_s4/252450073/ccs,CTCR-P
m84074_240804_073425_s4/248909027/ccs,CTCR-P
m84074_240804_073425_s4/246289468/ccs,CTCR-P
m84074_240804_073425_s4/239537334/ccs,CTCR-P
m84074_240804_073425_s4/257298811/ccs,CTCR-P
m84074_240804_073425_s4/255661337/ccs,CTCR-P
m84074_240804_073425_s4/253693378/ccs,CTCR-P
m84074_240804_073425_s4/252842210/ccs,CTCR-P
m84074_240804_073425_s4/247139706/ccs,CTCR-P
m84074_240804_073425_s4/263524499/ccs,CTCR-P
m84074_240804_073425_s4/244584764/ccs,CTCR-P
m84074_240804_073425_s4/239734318/ccs,CTCR-P
m84074_240804_073425_s4/212145596/ccs,CTCR-P
